100 2115
28 37 13
38 49 22
77 55 84
14 23 61
40 8 75
82 2 63
65 87 62
82 16 4
79 33 83
50 76 44
24 65 87
29 71 46
27 16 33
97 67 24
52 56 86
25 64 57
34 46 32
71 47 41
99 69 37
5 11 83
90 4 88
86 22 73
9 34 61
5 68 66
64 7 44
68 81 46
7 4 80
20 23 53
31 52 78
55 13 48
79 83 87
45 16 84
5 33 27
24 8 3
50 33 19
97 2 85
26 17 43
20 11 40
93 41 96
20 34 72
78 83 48
19 93 52
0 31 33
54 72 35
34 81 89
27 0 81
22 26 49
17 90 82
97 65 4
37 89 82
70 78 48
95 55 78
38 21 59
58 6 11
25 50 11
15 35 94
7 34 82
49 69 20
81 46 97
57 29 36
42 47 47
79 32 63
58 65 60
31 87 36
54 34 71
93 86 80
44 85 22
34 12 37
88 66 39
47 19 76
25 45 48
99 53 86
8 19 84
91 29 73
77 85 79
18 21 92
0 14 28
14 23 51
12 62 18
34 98 34
3 33 99
96 55 51
19 65 83
87 14 9
67 80 69
35 72 19
76 40 85
66 99 21
55 81 4
33 20 96
7 54 62
23 34 38
75 3 34
69 91 99
37 94 47
91 84 1
32 59 92
7 82 88
49 1 5
79 92 62
81 47 82
22 50 46
61 50 70
79 13 34
76 83 73
64 47 83
62 10 3
34 45 73
37 4 64
97 68 79
73 80 0
69 35 89
41 15 27
11 37 77
40 79 12
11 73 51
99 64 14
27 87 86
45 46 41
75 87 14
6 56 36
53 55 51
65 34 83
66 32 24
59 67 29
82 12 70
75 23 8
80 47 21
56 22 74
69 38 22
59 33 10
70 79 30
75 69 81
61 52 68
22 6 5
6 98 41
4 85 77
65 33 70
80 26 86
63 60 99
25 47 56
9 16 62
88 19 6
87 75 66
43 29 51
21 71 26
49 19 97
99 54 41
91 29 16
32 77 36
37 91 6
55 70 6
76 79 87
23 36 13
7 2 50
63 34 72
75 27 94
92 53 45
58 95 93
50 72 10
9 50 43
78 12 86
45 28 97
50 58 91
88 99 72
31 28 17
60 28 44
69 11 52
53 62 70
54 88 46
28 24 78
99 13 12
84 56 96
87 93 98
47 3 59
77 39 95
69 60 7
29 60 72
30 11 86
54 57 23
28 99 75
34 8 30
11 84 69
24 28 7
95 96 21
38 24 46
28 57 65
78 13 86
39 4 44
50 10 82
39 62 60
58 95 61
67 84 6
16 68 16
49 77 39
19 16 25
60 16 83
57 73 87
38 64 38
80 65 83
39 9 25
22 0 99
30 11 39
68 77 33
52 11 19
84 9 63
49 59 54
13 8 47
3 93 52
2 65 18
5 24 71
27 93 64
5 30 45
66 52 35
24 54 94
84 2 88
89 65 95
85 43 67
46 99 92
83 1 78
83 68 75
84 16 41
49 71 27
70 16 77
74 11 16
53 93 88
13 5 95
16 2 3
58 16 50
82 32 50
96 85 84
31 44 3
84 11 29
16 9 81
66 52 50
15 72 62
90 68 97
47 7 48
62 21 8
25 28 98
67 4 98
42 78 0
4 10 21
83 63 47
59 90 40
87 18 76
88 27 8
58 18 78
73 54 16
82 56 38
56 61 86
81 49 35
62 9 79
95 34 72
61 44 87
44 3 18
11 9 4
6 40 27
24 3 22
30 83 59
87 75 25
82 95 4
71 89 14
91 61 36
98 3 42
2 98 61
44 10 89
27 25 19
66 67 78
44 96 55
36 59 61
28 53 81
51 21 8
0 6 82
25 23 31
46 39 62
43 71 58
90 61 1
49 12 9
98 5 11
92 93 85
79 29 0
38 66 42
53 18 27
45 14 88
38 44 37
91 83 11
55 19 37
21 75 27
43 73 44
69 3 78
80 64 55
63 89 12
42 93 23
39 43 32
87 86 32
80 86 74
66 49 45
33 53 98
34 28 40
75 61 98
12 2 37
88 46 4
70 53 27
38 43 74
55 2 60
82 14 65
44 64 55
58 69 42
9 57 45
30 53 63
84 4 15
49 4 30
46 40 10
83 11 31
74 72 28
80 19 74
34 50 92
30 41 77
23 46 26
4 77 12
48 95 2
90 69 71
88 8 70
99 80 5
98 3 63
26 22 74
4 25 63
32 70 17
40 79 99
2 21 45
22 5 10
36 53 47
59 77 8
91 31 91
33 1 93
47 1 8
7 87 77
40 60 16
79 63 55
25 91 55
22 13 13
74 59 8
37 76 40
83 82 37
94 39 49
7 38 1
53 55 87
4 97 2
77 74 86
18 95 24
15 72 9
50 36 13
96 68 74
7 94 39
12 22 71
27 63 3
71 50 48
31 27 46
88 43 30
69 61 27
24 90 43
60 44 15
59 90 56
38 31 83
83 65 68
8 0 75
34 26 82
44 77 28
87 97 93
59 35 58
67 94 85
93 3 21
73 61 38
78 40 39
49 57 65
68 41 41
35 27 19
2 97 86
88 61 26
33 9 10
92 39 24
51 10 55
34 71 11
23 74 1
31 87 20
87 26 92
92 22 16
43 66 81
3 17 61
82 76 22
4 73 73
88 44 53
4 74 94
72 77 57
10 79 46
34 4 75
96 41 43
70 44 71
31 22 71
84 93 5
86 8 6
98 10 36
56 48 15
79 37 30
17 84 22
75 76 52
57 31 49
37 32 98
38 82 81
57 43 92
35 32 56
55 90 23
71 47 15
50 34 22
92 47 78
23 47 30
59 4 18
41 44 89
46 86 43
38 5 70
18 91 31
60 17 30
29 75 68
78 42 25
18 91 66
21 3 71
56 19 91
48 36 32
56 75 62
77 14 5
71 14 88
0 21 32
18 15 91
46 81 84
55 77 50
78 8 75
38 39 17
88 81 86
99 36 3
66 83 52
76 9 83
19 32 16
30 65 54
24 52 53
18 61 76
23 78 99
83 81 74
31 90 38
21 0 87
14 0 59
17 42 29
56 40 59
72 14 73
75 46 27
60 54 95
42 37 39
36 22 1
48 83 20
36 32 62
68 43 88
54 69 60
65 40 11
4 53 67
7 6 25
21 18 10
82 45 22
96 37 74
58 26 10
65 29 30
76 35 17
40 67 60
73 43 53
10 93 25
57 42 94
80 84 86
71 6 6
30 19 0
60 9 36
93 4 43
8 11 36
17 23 92
98 5 51
12 41 85
52 91 54
67 56 83
98 43 71
17 83 37
69 93 71
5 93 15
40 41 14
0 2 71
74 18 39
72 46 93
16 64 8
72 22 43
92 20 60
41 34 3
89 20 46
32 30 88
86 66 77
4 21 32
81 90 21
6 18 79
91 6 13
75 87 14
9 97 99
73 17 52
92 84 58
1 51 28
34 4 83
81 79 46
20 35 30
17 78 6
94 12 48
15 29 98
7 95 71
42 35 74
90 88 72
93 91 91
99 2 38
38 36 41
42 66 60
89 40 39
99 23 49
27 91 3
51 8 57
46 40 1
54 69 95
37 19 16
81 56 46
5 39 46
16 4 6
65 27 49
60 36 97
94 46 15
0 19 24
55 49 91
44 10 24
87 63 74
9 83 94
60 25 31
33 40 48
80 47 6
23 35 1
19 0 49
61 28 21
67 63 5
26 62 63
2 11 51
6 13 21
5 12 51
90 61 43
84 8 27
49 70 7
73 40 86
59 34 74
99 72 18
9 63 26
87 45 72
69 55 77
16 73 69
17 42 19
18 50 94
92 47 12
19 68 73
44 91 47
4 9 75
40 65 25
98 43 99
46 9 69
48 96 37
55 50 83
32 88 0
21 53 43
47 92 40
5 68 82
87 4 4
27 89 74
35 32 0
86 52 91
56 96 42
54 38 20
85 65 14
27 64 0
23 87 4
82 54 10
1 93 11
18 64 82
8 93 57
50 6 42
88 2 17
88 64 76
44 88 95
86 39 22
57 12 19
34 40 60
64 51 5
58 5 13
5 91 12
9 43 58
40 41 38
52 9 43
51 37 3
98 37 52
96 25 37
0 1 4
27 47 77
40 93 34
72 56 26
2 34 65
72 82 57
86 42 11
8 2 62
43 28 54
70 64 14
81 42 91
79 29 92
6 79 21
89 34 49
96 59 33
49 42 53
39 83 12
78 48 44
14 42 84
0 38 19
83 51 12
64 44 78
6 69 9
85 5 34
96 94 53
82 97 82
0 13 31
37 5 19
74 63 90
94 71 1
45 78 55
20 38 84
32 83 63
85 51 68
25 54 47
27 80 40
58 31 51
11 5 79
20 89 50
97 33 16
52 75 51
64 34 70
13 17 58
92 99 5
82 93 6
91 50 10
79 35 80
75 15 44
4 76 41
97 68 47
84 12 61
96 69 62
45 17 21
56 44 69
23 74 5
41 4 46
33 95 52
92 48 3
54 82 41
87 26 15
33 98 82
92 48 9
47 27 94
46 1 84
73 59 93
15 84 39
44 17 9
28 40 50
5 66 0
43 8 64
9 19 76
25 0 74
14 48 20
3 0 81
45 99 2
80 43 48
8 57 5
22 2 99
37 86 23
1 16 92
25 83 36
39 37 33
34 0 59
15 18 39
4 1 70
96 52 66
43 74 48
33 3 42
24 63 49
99 67 8
67 61 71
20 81 80
37 66 15
99 98 49
12 14 64
7 23 58
4 96 35
4 24 55
32 10 95
20 94 81
8 30 88
86 88 76
10 48 58
71 91 23
85 62 46
41 27 55
17 75 33
46 49 79
92 88 97
20 62 22
93 13 26
40 8 75
46 81 65
2 30 37
39 88 34
75 84 39
41 68 44
37 18 44
12 98 45
4 1 9
54 14 7
90 73 90
6 32 2
29 48 39
69 28 91
74 54 38
94 53 2
59 19 18
98 31 27
85 78 47
34 76 83
86 51 81
78 47 55
61 27 63
98 74 13
95 42 65
45 89 92
57 83 20
55 88 70
89 52 21
79 72 36
55 40 96
52 69 88
64 22 77
59 3 26
88 20 35
80 57 34
78 38 30
47 82 71
8 14 28
34 45 17
64 20 57
91 43 4
50 71 77
44 62 16
33 30 32
70 76 35
46 90 71
37 69 99
2 19 6
53 67 12
78 15 62
89 58 98
71 45 97
64 29 21
58 71 10
65 54 97
9 56 79
69 87 15
52 13 52
57 90 81
38 80 35
73 88 92
33 66 28
1 9 5
33 8 51
7 4 47
67 75 51
65 58 43
3 57 55
11 31 26
87 28 97
81 84 75
11 13 19
46 31 35
84 13 9
23 90 41
76 86 39
94 26 41
12 93 67
65 57 60
49 67 11
92 99 58
42 30 43
25 68 34
51 42 69
68 9 15
78 88 27
31 25 45
91 37 87
3 5 6
93 71 7
1 41 88
18 56 13
91 98 13
82 30 64
79 38 31
32 67 84
41 58 43
70 5 18
66 77 79
68 75 25
87 51 44
92 99 82
7 88 59
11 40 33
28 8 13
69 94 17
31 52 52
44 82 81
70 78 17
78 99 62
3 8 49
87 66 78
87 67 58
44 89 74
78 89 19
66 0 54
24 68 87
66 10 77
27 6 43
61 32 14
22 96 22
6 33 39
41 96 63
57 86 44
98 15 46
35 38 29
31 58 59
99 65 5
45 50 9
9 63 43
9 0 15
13 8 62
64 98 42
47 36 41
52 86 76
11 59 72
88 7 58
67 71 30
59 68 31
47 20 73
4 26 2
33 60 41
61 78 72
43 72 46
16 49 75
26 69 75
32 2 22
77 22 78
50 31 22
7 3 35
82 10 54
70 24 61
9 53 95
79 81 12
33 82 61
2 64 99
84 30 82
35 7 81
4 78 94
85 11 98
13 43 75
1 13 58
62 90 33
3 66 2
10 12 79
88 14 53
30 60 40
31 94 42
62 82 88
89 25 41
84 79 62
20 40 28
54 37 17
31 7 51
49 54 47
97 10 97
63 60 22
75 8 5
48 17 2
62 95 76
5 43 99
90 65 69
0 8 79
79 91 71
50 37 20
1 40 26
54 23 80
5 99 98
18 8 80
34 23 34
93 40 15
92 81 63
22 15 80
42 90 40
22 31 24
4 38 92
11 87 45
10 5 46
35 32 80
34 97 45
77 96 39
3 54 82
63 57 9
71 16 88
84 28 89
55 57 13
8 49 64
50 44 4
83 34 19
63 18 18
17 73 93
3 50 9
55 66 82
23 52 13
31 85 68
3 83 91
83 98 93
9 5 17
27 18 32
16 10 42
20 44 82
38 11 68
97 81 10
22 39 99
64 96 3
52 30 74
73 83 31
4 35 49
27 41 63
65 80 64
48 15 28
12 33 45
54 91 92
98 67 88
70 5 89
81 40 7
28 52 78
45 21 30
48 20 31
55 40 46
73 69 0
5 22 33
60 96 65
90 29 86
5 80 62
46 19 98
68 29 83
50 47 97
45 2 44
2 61 11
67 19 79
37 26 11
91 23 5
46 94 93
62 68 30
4 49 88
55 13 4
53 6 58
76 98 0
58 87 16
76 80 91
7 43 52
85 6 89
86 87 23
37 36 12
83 77 38
78 42 92
1 62 72
69 93 84
41 60 0
58 26 61
5 70 5
29 45 84
62 41 58
43 92 58
66 49 81
80 67 61
89 55 97
20 6 19
44 32 81
32 48 65
33 98 47
42 6 12
58 13 91
88 64 51
53 51 36
55 21 73
66 79 69
95 59 72
24 94 34
46 23 41
50 23 31
25 57 95
66 29 81
18 90 20
19 77 33
21 19 11
75 38 0
71 2 98
53 7 5
1 75 37
23 79 2
82 6 96
83 23 4
15 56 60
46 10 36
85 1 58
85 96 43
29 40 53
51 36 12
5 80 60
48 18 80
93 23 84
92 5 78
76 25 22
77 30 7
31 34 13
61 90 63
76 9 16
91 57 20
82 77 69
7 55 24
99 79 35
71 62 47
70 73 97
20 28 33
94 33 61
45 95 73
92 97 53
42 45 32
68 3 52
50 45 70
58 92 27
24 66 88
23 82 13
69 47 79
74 40 98
80 94 90
70 16 85
59 4 40
70 3 13
86 9 92
55 3 1
59 42 2
62 92 25
42 73 97
32 95 51
46 87 88
8 92 47
74 68 37
89 37 61
21 5 82
69 31 44
47 44 9
89 14 26
65 82 5
81 77 14
83 57 51
17 54 53
56 64 53
58 87 28
80 28 89
38 62 97
98 67 31
47 87 46
84 14 72
19 41 15
10 5 17
56 39 8
29 19 93
51 71 51
16 64 25
58 87 98
99 97 7
98 78 58
44 51 47
52 25 4
72 74 31
15 6 61
62 35 85
80 8 71
4 54 74
94 72 87
92 0 37
20 33 83
96 69 53
52 76 9
40 72 92
97 57 38
42 7 63
67 46 95
83 29 82
75 67 82
38 43 57
99 51 31
63 41 72
77 52 43
39 33 41
56 70 71
73 0 63
92 64 80
