25 193
22 7 45
23 3 31
9 8 24
8 4 28
10 6 81
15 6 44
8 2 61
11 3 72
23 15 10
22 7 32
2 10 86
18 23 57
9 20 23
6 14 91
0 1 37
13 17 70
9 13 49
0 4 21
8 20 34
17 3 65
24 0 80
8 15 59
16 6 48
21 22 94
9 4 8
13 22 42
15 11 35
20 5 55
13 12 65
20 13 78
15 3 49
6 21 33
15 17 50
21 11 99
1 15 16
19 22 11
1 16 57
22 2 78
9 22 18
12 13 36
7 14 23
12 11 17
13 6 26
13 3 3
4 5 97
15 11 20
21 19 11
13 10 98
12 15 27
3 13 90
21 11 76
22 3 86
21 6 37
22 10 3
12 8 86
10 17 66
11 20 70
24 5 75
22 12 91
3 2 33
15 1 43
2 18 67
5 17 69
2 5 38
8 22 49
5 23 1
17 4 95
19 15 36
17 22 59
7 3 73
14 12 76
17 8 35
7 22 40
7 8 45
21 12 24
9 10 70
3 22 90
12 13 20
12 11 76
18 4 17
9 10 83
4 6 45
1 21 50
16 3 48
7 12 64
14 6 94
1 12 51
16 7 69
9 23 43
15 5 80
7 24 82
21 0 93
8 4 78
12 3 80
18 7 79
11 9 6
12 5 42
22 15 51
7 24 73
9 4 31
0 8 81
3 17 7
2 17 26
23 20 61
16 1 34
15 17 57
7 3 98
17 16 5
2 5 56
19 5 24
5 10 9
0 21 38
6 2 40
15 17 97
8 9 19
17 11 83
11 9 33
9 16 62
18 15 2
6 13 77
15 2 52
5 15 89
1 0 7
15 2 83
12 4 26
11 19 17
7 8 29
7 12 71
18 2 55
2 9 44
8 24 68
24 4 2
20 1 4
1 20 53
0 13 4
6 10 14
22 19 45
0 14 86
4 16 51
20 22 14
20 13 61
1 20 25
13 11 9
19 15 70
3 5 88
5 9 81
21 4 54
8 4 31
23 8 3
12 19 94
9 14 58
14 24 71
1 0 58
22 5 36
9 21 67
21 5 48
22 17 92
24 14 86
7 13 5
22 18 6
12 8 88
22 6 31
10 14 34
23 10 70
24 6 43
2 12 95
19 23 46
23 21 70
2 22 47
15 23 39
19 8 97
7 9 27
17 1 1
19 8 39
1 14 58
2 17 93
22 10 49
9 10 49
12 10 4
23 16 43
7 24 37
1 22 88
23 3 90
12 5 61
13 17 44
20 6 49
21 15 64
3 22 69
5 2 97
1 11 0
18 4 22
10 12 66
20 17 60
69 659
41 26 25
54 20 75
7 48 28
41 28 73
13 44 30
34 52 9
23 2 81
28 68 29
24 17 50
11 36 92
27 39 2
6 65 55
63 40 7
52 37 3
58 4 45
18 27 3
45 33 62
56 3 39
49 40 78
3 4 46
19 0 77
51 57 11
11 67 94
5 55 5
47 16 95
44 53 26
32 8 35
23 62 93
1 32 15
8 62 81
61 68 33
61 39 41
7 54 63
65 35 88
4 6 36
29 18 60
33 67 95
35 58 75
32 19 7
10 31 76
40 4 98
4 68 19
22 52 49
33 37 7
49 23 60
3 7 92
21 11 38
29 35 21
25 33 82
57 21 51
16 45 27
40 50 54
22 41 86
9 34 32
51 37 32
18 55 60
15 28 64
21 7 49
67 57 19
13 9 64
59 24 7
50 42 23
49 50 18
43 36 52
52 19 61
21 64 74
32 15 4
68 0 67
65 17 91
29 17 48
61 32 93
46 67 41
36 62 87
8 16 62
59 53 88
5 41 28
17 38 91
2 9 54
29 15 30
64 17 24
37 8 17
22 16 17
39 3 0
52 22 75
58 46 45
59 17 42
43 13 89
34 49 70
24 66 77
37 5 86
25 2 44
59 15 41
53 41 74
30 31 13
42 51 37
41 58 98
33 46 12
2 6 62
34 36 10
5 27 49
62 63 62
8 61 12
10 55 33
1 41 23
56 11 16
5 67 25
47 17 91
21 41 83
25 27 61
7 6 60
39 63 14
42 8 23
3 33 95
5 28 38
25 5 41
43 37 41
39 32 14
59 33 55
60 36 89
39 1 60
44 11 45
51 9 15
22 68 9
52 59 85
49 24 42
4 59 4
15 48 39
0 1 76
6 32 70
1 51 83
44 52 94
57 50 28
63 48 65
19 49 16
38 35 71
64 19 70
64 0 88
36 4 46
17 14 48
39 56 43
50 13 44
17 19 0
62 6 28
58 33 40
58 62 79
45 20 86
37 15 26
44 43 44
28 40 38
0 17 88
34 32 77
8 29 10
2 28 53
38 8 39
59 18 80
22 7 24
27 44 91
26 62 93
45 10 92
32 5 36
51 61 55
33 14 46
29 46 74
23 45 62
32 61 65
63 61 49
42 37 33
59 46 86
21 42 47
66 47 0
55 27 56
53 49 13
18 55 91
56 13 45
47 41 12
10 5 83
68 15 40
60 63 90
47 65 17
57 3 0
24 49 69
4 33 37
23 65 11
52 42 12
17 42 98
63 22 45
57 4 2
25 5 51
65 35 95
10 17 33
67 61 93
38 24 99
39 46 55
34 65 30
56 63 54
1 6 44
60 40 84
31 36 71
61 44 26
68 1 40
57 67 44
28 2 70
36 38 9
51 49 60
30 27 18
56 14 57
34 9 57
12 22 21
3 14 45
1 49 86
3 35 43
6 37 32
43 42 0
43 33 63
40 47 48
52 62 26
1 29 15
15 63 43
17 53 7
53 11 38
12 22 95
21 38 56
30 16 44
6 22 17
8 24 76
1 42 86
61 62 6
21 57 77
16 12 63
36 67 68
13 39 58
53 35 99
55 33 17
35 16 26
47 42 34
16 57 75
18 60 17
16 54 73
55 47 52
37 16 43
41 16 62
12 3 88
31 59 25
53 43 33
20 27 8
32 22 37
47 1 37
24 54 86
14 21 15
15 10 58
51 44 77
42 58 2
63 66 3
5 14 86
37 47 88
65 20 74
1 59 90
57 15 94
19 27 39
10 59 97
17 44 37
33 35 48
22 6 49
35 10 0
31 63 10
52 34 55
4 44 28
22 55 34
29 52 83
39 54 77
27 5 13
1 21 95
56 16 50
16 19 38
65 53 86
51 46 17
38 21 47
12 59 53
6 45 63
9 10 68
4 2 87
3 40 93
11 52 51
20 36 51
13 39 38
25 49 78
60 16 93
59 1 76
18 7 44
17 61 43
16 5 91
63 28 16
28 66 64
44 24 7
47 63 10
44 47 44
31 53 16
21 41 91
4 35 24
45 29 12
60 57 73
16 36 47
44 31 12
58 56 73
20 7 98
61 27 22
51 58 44
32 23 4
14 67 66
11 29 37
40 56 99
16 28 86
47 14 67
18 22 23
37 62 65
49 57 60
26 42 61
27 57 27
25 68 60
25 29 19
29 24 76
37 3 69
61 60 2
39 49 56
56 15 89
49 56 6
66 44 19
58 9 54
38 27 69
24 7 45
6 0 56
67 68 5
48 54 22
54 20 20
32 18 65
68 9 88
51 68 93
14 68 50
35 55 99
50 45 91
24 11 9
13 61 17
56 18 89
53 30 5
7 1 26
12 27 44
42 53 37
20 47 13
68 31 43
7 35 11
3 29 31
36 65 68
66 44 11
67 42 43
19 37 45
27 49 11
61 66 99
52 11 74
33 41 26
59 4 22
63 67 85
24 51 55
66 29 57
11 50 74
21 38 11
16 3 95
47 28 43
17 37 23
19 54 38
34 27 13
36 29 69
12 27 94
13 22 72
53 58 64
4 40 72
1 27 3
30 5 10
54 30 75
67 66 27
61 60 52
10 28 36
20 50 40
49 15 75
34 54 14
65 52 34
49 62 26
40 62 61
51 33 32
56 34 14
61 34 94
32 63 77
7 42 98
31 57 23
38 41 45
32 13 3
53 26 66
4 49 62
55 2 93
63 51 31
12 63 71
32 23 82
63 15 34
32 59 43
34 25 32
44 40 46
38 24 64
27 43 93
42 54 92
51 64 94
15 42 87
10 8 12
57 59 9
22 61 47
49 64 46
55 24 50
17 10 78
21 40 68
14 58 57
56 12 23
50 24 14
66 23 94
56 2 41
0 47 90
33 20 94
35 6 17
33 36 19
18 49 55
59 31 82
56 64 50
64 7 45
21 60 13
39 29 52
0 61 15
68 30 12
